symbol,name,sector,industry,market_cap_usd
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,5210986000000.0
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,4640064520000.0
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,4596568080000.0
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,4535749279920.0
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,3109319914053.0
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,2864833384996.0
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,1960815481722.0
TSLA,Tesla Inc. Common Stock,Industrials,Auto Manufacturing,1599975926285.0
META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,1549098205499.0
BRK/B,Berkshire Hathaway Inc.,,,1073105724627.0
BRK/A,Berkshire Hathaway Inc.,,,1071739102234.0
LLY,Eli Lilly and Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1002954597390.0
WMT,Walmart Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,958840848795.0
MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,846928272301.0
JPM,JP Morgan Chase & Co. Common Stock,Finance,Major Banks,820948708247.0
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,762322104739.0
XOM,Exxon Mobil Corporation Common Stock,Energy,Integrated oil Companies,642135214337.0
V,Visa Inc.,Consumer Discretionary,Business Services,623052621698.0
INTC,Intel Corporation Common Stock,Technology,Semiconductors,602315840000.0
JNJ,Johnson & Johnson Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,564107224984.0
ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software,552430915680.0
CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,Computer Communications Equipment,474588148013.0
COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,456181287730.0
MA,Mastercard Incorporated Common Stock,Consumer Discretionary,Business Services,440501895072.0
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks,405309912807.0
LRCX,Lam Research Corporation Common Stock,Technology,Industrial Machinery/Components,381861854850.0
CVX,Chevron Corporation Common Stock,Energy,Integrated oil Companies,381251553837.0
ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,381097211490.0
NFLX,Netflix Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains,373076749581.0
BAC,Bank of America Corporation Common Stock,Finance,Major Banks,367603395722.0
UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care,Medical Specialities,352786856622.0
KO,Coca-Cola Company (The) Common Stock,Consumer Staples,Beverages (Production/Distribution),350702376418.0
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors,342966440123.0
PG,Procter & Gamble Company (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics,336342836382.0
PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,328144063412.0
MS,Morgan Stanley Common Stock,Finance,Investment Bankers/Brokers/Service,317081566762.0
GE,GE Aerospace Common Stock,Technology,Consumer Electronics/Appliances,315964248247.0
HD,Home Depot Inc. (The) Common Stock,Consumer Discretionary,RETAIL: Building Materials,311826378890.0
MRK,Merck & Company Inc. Common Stock (new),Health Care,Biotechnology: Pharmaceutical Preparations,302331206640.0
PM,Philip Morris International Inc Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,294552036306.0
GS,Goldman Sachs Group Inc. (The) Common Stock,Finance,Investment Bankers/Brokers/Service,294042746733.0
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors,281409791905.0
GEV,GE Vernova Inc. Common Stock,,,279130207606.0
QCOM,QUALCOMM Incorporated Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,251020640000.0
KLAC,KLA Corporation Common Stock,Technology,Electronic Components,246674398106.0
LIN,Linde plc Ordinary Shares,Basic Materials,Major Chemicals,239432269396.0
IBM,International Business Machines Corporation Common Stock,Technology,Computer Manufacturing,238580479475.0
RTX,RTX Corporation Common Stock,Industrials,Aerospace,238376433590.0
WFC,Wells Fargo & Company Common Stock,Finance,Major Banks,233798477342.0
CCZ,Comcast Holdings ZONES,Telecommunications,Cable & Other Pay Television Services,228367191933.0
SNDK,Sandisk Corporation Common Stock,Technology,Electronic Components,218978844257.0
C,Citigroup Inc. Common Stock,Finance,Major Banks,213350621301.0
AXP,American Express Company Common Stock,Finance,Finance: Consumer Services,212735738399.0
PANW,Palo Alto Networks Inc. Common Stock,Technology,Computer peripheral equipment,212633280000.0
TMUS,T-Mobile US Inc. Common Stock,Telecommunications,Telecommunications Equipment,207209737164.0
PEP,PepsiCo Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),205794305190.0
VZ,Verizon Communications Inc. Common Stock,Telecommunications,Telecommunications Equipment,201888273299.0
MCD,McDonald's Corporation Common Stock,Consumer Discretionary,Restaurants,200554488820.0
ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment,193954975400.0
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors,193407650973.0
DELL,Dell Technologies Inc. Class C Common Stock ,Technology,Computer Manufacturing,191746062640.0
NEE,NextEra Energy Inc. Common Stock,Technology,EDP Services,184656985929.0
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),183123017368.0
DIS,Walt Disney Company (The) Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,178860676672.0
T,AT&T Inc.,Telecommunications,Telecommunications Equipment,175515038972.0
TJX,TJX Companies Inc. (The) Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,175017223405.0
BA,Boeing Company (The) Common Stock,Industrials,Aerospace,172653976536.0
MRVL,Marvell Technology Inc. Common Stock,Technology,Semiconductors,171897354455.0
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,168874800223.0
GLW,Corning Incorporated Common Stock,Industrials,Telecommunications Equipment,167006769941.0
WDC,Western Digital Corporation Common Stock,Technology,Electronic Components,166922662401.0
GILD,Gilead Sciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),166817328271.0
TMO,Thermo Fisher Scientific Inc Common Stock,Industrials,Industrial Machinery/Components,166590470330.0
BLK,BlackRock Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,166566070197.0
CRM,Salesforce Inc. Common Stock,Technology,Computer Software: Prepackaged Software,166204610000.0
APH,Amphenol Corporation Common Stock,Technology,Electrical Products,162464760807.0
APP,Applovin Corporation Class A Common Stock,Technology,Computer Software: Programming Data Processing,161815579200.0
UNP,Union Pacific Corporation Common Stock,Industrials,Railroads,157856469072.0
SCHW,Charles Schwab Corporation (The) Common Stock,Finance,Investment Bankers/Brokers/Service,156783065956.0
ISRG,Intuitive Surgical Inc. Common Stock,Health Care,Industrial Specialties,155158741080.0
WELL,Welltower Inc. Common Stock,Real Estate,Real Estate Investment Trusts,152597526657.0
ABT,Abbott Laboratories Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,152251824419.0
TBB,AT&T Inc. 5.350% Global Notes due 2066,Telecommunications,Telecommunications Equipment,150015087370.0
SCCO,Southern Copper Corporation Common Stock,Basic Materials,Metal Mining,148419105916.0
PFE,Pfizer Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,147615603977.0
COP,ConocoPhillips Common Stock,Energy,Integrated oil Companies,146755696083.0
UBER,Uber Technologies Inc. Common Stock,Consumer Discretionary,Business Services,146196721114.0
HON,Honeywell International Inc. Common Stock,Industrials,Aerospace,144422218882.0
DE,Deere & Company Common Stock,Industrials,Industrial Machinery/Components,142927268270.0
IBKR,Interactive Brokers Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service,137998376912.0
PLD,Prologis Inc. Common Stock,Real Estate,Real Estate Investment Trusts,136028114200.0
VRT,Vertiv Holdings LLC Class A Common Stock,Technology,Industrial Machinery/Components,125780272887.0
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services,124801920902.0
SPGI,S&P Global Inc. Common Stock,Finance,Finance: Consumer Services,123609600000.0
MO,Altria Group Inc.,Health Care, Medicinal Chemicals and Botanical Products ,123404962267.0
LMT,Lockheed Martin Corporation Common Stock,Industrials,Military/Government/Technical,122945738330.0
DHR,Danaher Corporation Common Stock,Industrials,Industrial Machinery/Components,121736547844.0
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,121421556347.0
SYK,Stryker Corporation Common Stock,Health Care,Medical/Dental Instruments,121326013958.0
LOW,Lowe's Companies Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials,120430439138.0
CVS,CVS Health Corporation Common Stock,Consumer Staples,Retail-Drug Stores and Proprietary Stores,118992980651.0
SBUX,Starbucks Corporation Common Stock,Consumer Discretionary,Restaurants,117514467000.0
COF,Capital One Financial Corporation Common Stock,Finance,Major Banks,116860361720.0
PGR,Progressive Corporation (The) Common Stock,Finance,Property-Casualty Insurers,116580967933.0
NEM,Newmont Corporation,Basic Materials,Precious Metals,114911379517.0
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,110283529795.0
PH,Parker-Hannifin Corporation Common Stock,Industrials,Metal Fabrications,109311855807.0
PWR,Quanta Services Inc. Common Stock,Industrials,Engineering & Construction,108559514193.0
SO,Southern Company (The) Common Stock,Utilities,Electric Utilities: Central,106682639454.0
EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate Investment Trusts,106493476748.0
CEG,Constellation Energy Corporation Common Stock ,Utilities,Electric Utilities: Central,106215161826.0
CME,CME Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service,105529912627.0
NOW,ServiceNow Inc. Common Stock,Technology,Computer Software: Prepackaged Software,105296030000.0
CDNS,Cadence Design Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software,103042099440.0
HWM,Howmet Aerospace Inc. Common Stock,Industrials,Metal Fabrications,102647574764.0
MDT,Medtronic plc. Ordinary Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,100913358170.0
SNPS,Synopsys Inc. Common Stock,Technology,Computer Software: Prepackaged Software,100520258048.0
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,98931992000.0
FTNT,Fortinet Inc. Common Stock,Technology,Computer peripheral equipment,98123599007.0
DUK,Duke Energy Corporation (Holding Company) Common Stock,Utilities,Power Generation,97971856590.0
MAR,Marriott International Class A Common Stock,Consumer Discretionary,Hotels/Resorts,97340655180.0
WMB,Williams Companies Inc. (The) Common Stock,Utilities,Natural Gas Distribution,95968673855.0
BNY,The Bank of New York Mellon Corporation Common Stock,Finance,Major Banks,95509644112.0
FDX,FedEx Corporation Common Stock,Consumer Discretionary,Air Freight/Delivery Services,94058783215.0
GD,General Dynamics Corporation Common Stock,Industrials,Marine Transportation,92727806820.0
MCK,McKesson Corporation Common Stock,Health Care,Other Pharmaceuticals,92085919390.0
ADP,Automatic Data Processing Inc. Common Stock,Industrials,Diversified Commercial Services,90719801653.0
CMCSA,Comcast Corporation Class A Common Stock,Telecommunications,Cable & Other Pay Television Services,90078170151.0
FCX,Freeport-McMoRan Inc. Common Stock,Basic Materials,Metal Mining,89114336031.0
CMI,Cummins Inc. Common Stock,Industrials,Industrial Machinery/Components,88250907800.0
BX,Blackstone Inc. Common Stock,Finance,Investment Managers,88038685928.0
PNC,PNC Financial Services Group Inc. (The) Common Stock,Finance,Major Banks,88035014273.0
INTU,Intuit Inc. Common Stock,Technology,Computer Software: Prepackaged Software,87515427780.0
WM,Waste Management Inc. Common Stock,Utilities,Environmental Services,87503356361.0
HCA,HCA Healthcare Inc. Common Stock,Health Care,Hospital/Nursing Management,87420409986.0
ICE,Intercontinental Exchange Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,86506446360.0
BE,Bloom Energy Corporation Class A Common Stock,Energy,Industrial Machinery/Components,86041425631.0
BSX,Boston Scientific Corporation Common Stock,Health Care,Medical/Dental Instruments,85881602243.0
UPS,United Parcel Service Inc. Common Stock,Industrials,Trucking Freight/Courier Services,85867634305.0
EPD,Enterprise Products Partners L.P. Common Stock,Utilities,Natural Gas Distribution,85740229080.0
ELV,Elevance Health Inc. Common Stock,Health Care,Medical Specialities,85711819762.0
AMT,American Tower Corporation (REIT) Common Stock,Real Estate,Real Estate Investment Trusts,85654440736.0
USB,U.S. Bancorp Common Stock,Finance,Major Banks,85112595018.0
MNST,Monster Beverage Corporation,Consumer Staples,Beverages (Production/Distribution),84881323867.0
CSX,CSX Corporation Common Stock,Industrials,Railroads,84582480725.0
KKR,KKR & Co. Inc. Common Stock,Finance,Investment Managers,84435971372.0
CIEN,Ciena Corporation Common Stock,Utilities,Telecommunications Equipment,82539917777.0
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Diversified Commercial Services,79767996559.0
MMM,3M Company Common Stock,Health Care,Medical/Dental Instruments,79507713267.0
MDLZ,Mondelez International Inc. Class A Common Stock,Consumer Staples,Packaged Foods,79278209548.0
DDOG,Datadog Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,79137069218.0
MRSH,Marsh Common Stock,Finance,Specialty Insurers,79067295559.0
NOC,Northrop Grumman Corporation Common Stock,Industrials,Industrial Machinery/Components,78910958596.0
RKLB,Rocket Lab Corporation Common Stock,Industrials,Military/Government/Technical,78587048406.0
MCO,Moody's Corporation Common Stock,Finance,Finance: Consumer Services,78461264000.0
MPWR,Monolithic Power Systems Inc. Common Stock,Technology,Semiconductors,78107365300.0
EMR,Emerson Electric Company Common Stock,Technology,Consumer Electronics/Appliances,76408842000.0
NET,Cloudflare Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,76408798614.0
SHW,Sherwin-Williams Company (The) Common Stock,Consumer Discretionary,RETAIL: Building Materials,76230137739.0
ORLY,O'Reilly Automotive Inc. Common Stock,Consumer Discretionary,Auto & Home Supply Stores,76026321347.0
CI,The Cigna Group Common Stock,Health Care,Medical Specialities,75719755321.0
ROST,Ross Stores Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,75643606632.0
EOG,EOG Resources Inc. Common Stock,Energy,Oil & Gas Production,75217801007.0
KMI,Kinder Morgan Inc. Common Stock,Utilities,Natural Gas Distribution,75176862329.0
CVNA,Carvana Co. Class A Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,74891944327.0
MPC,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,74341664103.0
APO,Apollo Global Management Inc. (New) Common Stock,Finance,Investment Managers,74088265596.0
COHR,Coherent Corp. Common Stock,Technology,Electronic Components,73867538430.0
LITE,Lumentum Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment,73668820000.0
VLO,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies,73330519843.0
HLT,Hilton Worldwide Holdings Inc. Common Stock ,Consumer Discretionary,Hotels/Resorts,73093339282.0
ITW,Illinois Tool Works Inc. Common Stock,Industrials,Industrial Machinery/Components,72557940000.0
CL,Colgate-Palmolive Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics,72505153379.0
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central,71598781161.0
ECL,Ecolab Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics,71293748007.0
PSX,Phillips 66 Common Stock,Energy,Integrated oil Companies,71242143704.0
GM,General Motors Company Common Stock,Industrials,Auto Manufacturing,71042200714.0
NSC,Norfolk Southern Corporation Common Stock,Industrials,Railroads,70641551135.0
DASH,DoorDash Inc. Class A Common Stock,Technology,EDP Services,69823925201.0
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,Specialty Insurers,69365521496.0
CTAS,Cintas Corporation Common Stock,Industrials,Garments and Clothing,69195670831.0
ET,Energy Transfer LP Common Units ,Utilities,Natural Gas Distribution,69064066689.0
RCL,Royal Caribbean Cruises Ltd. Common Stock,Consumer Discretionary,Marine Transportation,68684733866.0
TDG,Transdigm Group Incorporated Common Stock,Industrials,Military/Government/Technical,67875962306.0
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,Consumer Discretionary,Services-Misc. Amusement & Recreation,67767905055.0
DLR,Digital Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,67480507622.0
MSI,Motorola Solutions Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,67075494775.0
REGN,Regeneron Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,66979560764.0
HOOD,Robinhood Markets Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service,66313192397.0
SPG,Simon Property Group Inc. Common Stock,Real Estate,Real Estate Investment Trusts,66288100912.0
NKE,Nike Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing,66151223764.0
BKR,Baker Hughes Company Class A Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,65536058124.0
TRV,The Travelers Companies Inc. Common Stock,Finance,Property-Casualty Insurers,65167092617.0
APD,Air Products and Chemicals Inc. Common Stock,Basic Materials,Major Chemicals,64459378176.0
FIX,Comfort Systems USA Inc. Common Stock,Industrials,Engineering & Construction,64358831678.0
RSG,Republic Services Inc. Common Stock,Utilities,Environmental Services,64280257697.0
SRE,DBA Sempra Common Stock,Utilities,Natural Gas Distribution,60664046813.0
TFC,Truist Financial Corporation Common Stock,Finance,Major Banks,60275639325.0
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance,59988960785.0
SNOW,Snowflake Inc. Common Stock,Technology,Computer Software: Prepackaged Software,59684740933.0
D,Dominion Energy Inc. Common Stock,Utilities,Electric Utilities: Central,59512747121.0
F,Ford Motor Company Common Stock,Industrials,Auto Manufacturing,59491460966.0
KEYS,Keysight Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components,59435904667.0
TRGP,Targa Resources Inc. Common Stock,Utilities,Natural Gas Distribution,59402700155.0
OKE,ONEOK Inc. Common Stock,Utilities,Oil & Gas Production,59241989074.0
GWW,W.W. Grainger Inc. Common Stock,Industrials,Office Equipment/Supplies/Services,58912057757.0
URI,United Rentals Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services,58801311331.0
OXY,Occidental Petroleum Corporation Common Stock,Energy,Oil & Gas Production,58494466766.0
SOMN,Southern Company (The) 2025 Series A Corporate Units,Basic Materials,Metal Mining,58311568556.0
LHX,L3Harris Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components,58120298813.0
O,Realty Income Corporation Common Stock,Real Estate,Real Estate Investment Trusts,57833186711.0
CRWV,CoreWeave Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,57552215800.0
PCAR,PACCAR Inc. Common Stock,Consumer Discretionary,Motor Vehicles,57549399141.0
MPLX,MPLX LP Common Units Representing Limited Partner Interests,Energy,Natural Gas Distribution,57302013112.0
TGT,Target Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,57044536623.0
FANG,Diamondback Energy Inc. Common Stock,Energy,Oil & Gas Production,56462391841.0
AZO,AutoZone Inc. Common Stock,Consumer Discretionary,Auto & Home Supply Stores,56128287330.0
TER,Teradyne Inc. Common Stock,Industrials,Electrical Products,56110972547.0
MSTR,Strategy Inc Common Stock Class A,Technology,Computer Software: Prepackaged Software,56033110254.0
ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers,55757373438.0
CBRS,Cerebras Systems Inc. Class A Common Stock,Technology,Semiconductors,55266384758.0
MET,MetLife Inc. Common Stock,Finance,Life Insurance,54087295643.0
PSA,Public Storage Common Stock,Real Estate,Real Estate Investment Trusts,53585339577.0
COR,Cencora Inc. Common Stock,Health Care,Other Pharmaceuticals,53486781005.0
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,Consumer Discretionary,Other Consumer Services,53451524235.0
CTVA,Corteva Inc. Common Stock ,Consumer Staples,Farming/Seeds/Milling,53211319200.0
BRKRP,Bruker Corporation 6.375% Mandatory Convertible Preferred Stock Series A,Industrials,Biotechnology: Laboratory Analytical Instruments,53081026364.0
NUE,Nucor Corporation Common Stock,Industrials,Steel/Iron Ore,52835900400.0
CARR,Carrier Global Corporation Common Stock ,Industrials,Industrial Machinery/Components,52775182709.0
VST,Vistra Corp. Common Stock,Utilities,Electric Utilities: Central,52691504274.0
ALAB,Astera Labs Inc. Common Stock,Technology,Semiconductors,52601668320.0
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers,52600275000.0
EBAY,eBay Inc. Common Stock,Consumer Discretionary,Business Services,51510044201.0
NDAQ,Nasdaq Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,51469868026.0
ETR,Entergy Corporation Common Stock,Utilities,Electric Utilities: Central,51466481603.0
AME,AMETEK Inc.,Industrials,Industrial Machinery/Components,51460658009.0
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software,50883894038.0
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,Finance,Major Banks,50880977734.0
XEL,Xcel Energy Inc. Common Stock,Utilities,Power Generation,50615775925.0
MCHP,Microchip Technology Incorporated Common Stock,Technology,Semiconductors,50558285841.0
LNG,Cheniere Energy Inc. Common Stock,Utilities,Oil/Gas Transmission,50470567408.0
FAST,Fastenal Company Common Stock,Consumer Discretionary,RETAIL: Building Materials,50444660580.0
EA,Electronic Arts Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,50393525739.0
ROK,Rockwell Automation Inc. Common Stock,Industrials,Industrial Machinery/Components,50328096202.0
DAL,Delta Air Lines Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,50023549048.0
HPE,Hewlett Packard Enterprise Company Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,49863176665.0
EW,Edwards Lifesciences Corporation Common Stock,Health Care,Industrial Specialties,49392124000.0
COIN,Coinbase Global Inc. Class A Common Stock,Finance,Finance: Consumer Services,48728421979.0
MDLN,Medline Inc. Class A Common Stock,Health Care,Medical/Dental Instruments,48619598950.0
GFS,GlobalFoundries Inc. Ordinary Shares,Technology,Semiconductors,47651573804.0
EXC,Exelon Corporation Common Stock,Utilities,Power Generation,47302912405.0
CAH,Cardinal Health Inc. Common Stock,Health Care,Other Pharmaceuticals,47000430981.0
ON,ON Semiconductor Corporation Common Stock,Technology,Semiconductors,45539150794.0
FITB,Fifth Third Bancorp Common Stock,Finance,Major Banks,44844295395.0
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,Finance,Major Banks,44738772055.0
PCG,Pacific Gas & Electric Co. Common Stock,Utilities,Power Generation,44192677564.0
IDXX,IDEXX Laboratories Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,44124782032.0
ODFL,Old Dominion Freight Line Inc. Common Stock,Industrials,Trucking Freight/Courier Services,43771084523.0
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,Industrials,Railroads,43506968288.0
MCHPP,Microchip Technology Incorporated Depositary Shares Each Representing a 1/20th Interest in a Share of 7.50% Series A Mandatory Convertible Preferred Stock,Technology,Semiconductors,43068971102.0
VTR,Ventas Inc. Common Stock,Real Estate,Real Estate Investment Trusts,42870446174.0
MSCI,MSCI Inc. Common Stock,Consumer Discretionary,Business Services,42846440000.0
YUM,Yum! Brands Inc.,Consumer Discretionary,Restaurants,42762629490.0
STT,State Street Corporation Common Stock,Finance,Major Banks,42608284730.0
CMG,Chipotle Mexican Grill Inc. Common Stock,Consumer Discretionary,Restaurants,42189121260.0
TTWO,Take-Two Interactive Software Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,42136675013.0
HEI,Heico Corporation Common Stock,Industrials,Aerospace,42000618835.0
HBANZ,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/1000th Interest in a Share of 5.50% Series L Non-Cumulative Perpetual Preferred Stock,Finance,Major Banks,41373735281.0
KR,Kroger Company (The) Common Stock,Consumer Staples,Food Chains,41199633676.0
ASTS,AST SpaceMobile Inc. Class A Common Stock,Consumer Discretionary,Telecommunications Equipment,41086867192.0
ARES,Ares Management Corporation Class A Common Stock,Finance,Investment Managers,41036343151.0
AIG,American International Group Inc. New Common Stock,Finance,Life Insurance,40852389328.0
DHI,D.R. Horton Inc. Common Stock,Consumer Discretionary,Homebuilding,40758897776.0
BDX,Becton Dickinson and Company Common Stock,Health Care,Medical/Dental Instruments,40678033238.0
AMP,Ameriprise Financial Inc. Common Stock,Finance,Investment Managers,40661350064.0
XYZ,Block Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,40519922480.0
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,Technology,Semiconductors,40285711395.0
ED,Consolidated Edison Inc. Common Stock,Utilities,Power Generation,40000214181.0
CCI,Crown Castle Inc. Common Stock,Real Estate,Real Estate Investment Trusts,39917898365.0
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,39713314839.0
PEG,Public Service Enterprise Group Incorporated Common Stock,Utilities,Power Generation,39621534673.0
KDP,Keurig Dr Pepper Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),39619491796.0
HSY,The Hershey Company Common Stock,Consumer Staples,Specialty Foods,39509831998.0
RKT,Rocket Companies Inc. Class A Common Stock,Finance,Finance: Consumer Services,39017835866.0
PYPL,PayPal Holdings Inc. Common Stock,Industrials,Diversified Commercial Services,39015525955.0
LYV,Live Nation Entertainment Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,38994816611.0
JBL,Jabil Inc. Common Stock,Technology,Electrical Products,38439880326.0
CBRE,CBRE Group Inc Common Stock Class A,Finance,Real Estate,38379469010.0
EME,EMCOR Group Inc. Common Stock,Industrials,Engineering & Construction,37725796397.0
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,Health Care,Medical/Nursing Services,37630834724.0
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,Real Estate,Real Estate Investment Trusts,37624971159.0
VIK,Viking Holdings Ltd Ordinary Shares,Consumer Discretionary,Marine Transportation,37548558065.0
TRI,Thomson Reuters Corporation Common Shares,Consumer Discretionary,Publishing,37452600881.0
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples,Packaged Foods,37361269973.0
HIG,The Hartford Insurance Group Inc. Common Stock,Finance,Property-Casualty Insurers,37287274136.0
CCL,Carnival Corporation Ltd. Common Shares,Consumer Discretionary,Marine Transportation,37099851757.0
HUM,Humana Inc. Common Stock,Health Care,Medical Specialities,36972938925.0
UI,Ubiquiti Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,36967494739.0
WEC,WEC Energy Group Inc. Common Stock,Utilities,Power Generation,36940549142.0
PPLC,PPL Corporation Corporate Units,Utilities,Electric Utilities: Central,36759838687.0
TKO,TKO Group Holdings Inc. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,36600684152.0
SYY,Sysco Corporation Common Stock,Consumer Discretionary,Food Distributors,36480551164.0
EQT,EQT Corporation Common Stock,Energy,Oil & Gas Production,36227685760.0
PRU,Prudential Financial Inc. Common Stock,Finance,Life Insurance,36129640000.0
SATS,EchoStar  Corporation Common Stock,Consumer Discretionary,Telecommunications Equipment,35994835210.0
STRF,Strategy Inc 10.00% Series A Perpetual Strife Preferred Stock,Technology,Computer Software: Prepackaged Software,35566954529.0
